id,title,category,price_raw,price,currency,unit,moq,supplier,city,state,location,rating,response_rate_pct,response_time,certification,years_in_business,listed_date,source,url,price_usd,price_eur,related_keywords,country_region,country_subregion,schema_version,price_anomaly,category_label,region,price_bucket,response_tier,supplier_maturity,quality_score
50eb13768941c5,Centrifugal Pump,industrial-machinery,"₹3,318,073 / unit",3318073.4,INR,unit,1,Global Global Corporation,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",3.1,,Within 4 Hours,ISO 9001:2015,35.0,2025-08-21,indiamart_mock,https://www.indiamart.com/proddetail/b2a0d432.html,39816.88,36498.81,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,,Veteran,80.0
968676efe65412,Automatic Industrial Air Compressor,industrial-machinery,"₹3,418,251 / piece",3418251.04,INR,piece,10,Apex Star Industries,Ahmedabad,Gujarat,"Ahmedabad, Gujarat",,71.0,Within 1 Hour,BIS,23.0,2025-12-04,indiamart_mock,https://www.indiamart.com/proddetail/997c3a40.html,41019.01,37600.76,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Veteran,80.0
30b493cacd67a0,Semi-Automatic Grinding Mill,industrial-machinery,Get Latest Price,,INR,set,500,Supreme Excellent Works,Delhi,Delhi,"Delhi, Delhi",4.8,62.0,Within 1 Hour,ISO 9001:2015,19.0,2025-12-28,indiamart_mock,https://www.indiamart.com/proddetail/f983b589.html,,,,Asia,Southern Asia,v2,False,Industrial Machinery,North,,Medium,Veteran,80.0
e5532c590cce1b,Automatic CNC Lathe Machine,industrial-machinery,"₹744,504 / set",744503.63,INR,set,100,Pioneer Excellent Manufacturing Co.,Faridabad,Haryana,"Faridabad, Haryana",4.3,60.0,,ROHS,,2026-01-11,indiamart_mock,https://www.indiamart.com/proddetail/f439264e.html,8934.04,8189.54,,Asia,Southern Asia,v2,False,Industrial Machinery,North,1L–10L,Medium,,100.0
1b2e60dc43e964,Semi-Automatic Industrial Air Compressor,industrial-machinery,"₹3,085,495 / piece",3085494.92,INR,piece,500,Supreme Quality Trading Co.,Gurgaon,Haryana,"Gurgaon, Haryana",3.5,86.0,Within 24 Hours,ROHS,26.0,2026-05-11,indiamart_mock,https://www.indiamart.com/proddetail/8acc02fb.html,37025.94,33940.44,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,High,Veteran,100.0
01934d924dd2b0,Screw Compressor,industrial-machinery,"₹2,432,313 / unit",2432313.14,INR,unit,25,Global Supreme Works,Coimbatore,Tamil Nadu,"Coimbatore, Tamil Nadu",5.0,,2-3 Days,BIS,8.0,2025-08-02,indiamart_mock,https://www.indiamart.com/proddetail/770fd33e.html,29187.76,26755.44,,Asia,Southern Asia,v2,False,Industrial Machinery,South,>10L,,Established,80.0
0976b447b52c33,Automatic Industrial Conveyor Belt,industrial-machinery,"₹1,726,562 / set",1726562.5,INR,set,500,Modern Sri Export House,Kanpur,Uttar Pradesh,"Kanpur, Uttar Pradesh",4.4,,,MSME Registered,22.0,2025-08-17,indiamart_mock,https://www.indiamart.com/proddetail/eb621d49.html,20718.75,18992.19,,Asia,Southern Asia,v2,False,Industrial Machinery,North,>10L,,Veteran,80.0
7c44a856bb913e,Semi-Automatic CNC Lathe Machine,industrial-machinery,"₹4,373,918 / piece",4373918.12,INR,piece,500,Shree Supreme Pvt. Ltd.,Nagpur,Maharashtra,"Nagpur, Maharashtra",4.7,62.0,Within 4 Hours,,35.0,2026-04-03,indiamart_mock,https://www.indiamart.com/proddetail/77e0058b.html,52487.02,48113.1,,Asia,Southern Asia,v2,False,Industrial Machinery,West,>10L,Medium,Veteran,100.0
d04d5b5f6bd8d5,Energy Efficient Power Press Machine,industrial-machinery,"₹516,727 / set",516726.75,INR,set,5,Bharat Excellent Industries,Noida,Uttar Pradesh,"Noida, Uttar Pradesh",,55.0,Within 1 Hour,,35.0,2025-12-21,indiamart_mock,https://www.indiamart.com/proddetail/eb593f0c.html,6200.72,5683.99,,Asia,Southern Asia,v2,False,Industrial Machinery,North,1L–10L,Low,Veteran,80.0
763862599264dc,Power Press Machine,industrial-machinery,"₹2,381,617 / unit",2381616.94,INR,unit,50,Quality National Pvt. Ltd.,Indore,Madhya Pradesh,"Indore, Madhya Pradesh",4.4,75.0,Within 24 Hours,,29.0,2026-02-08,indiamart_mock,https://www.indiamart.com/proddetail/9f100bb0.html,28579.4,26197.79,,Asia,Southern Asia,v2,False,Industrial Machinery,Central,>10L,Medium,Veteran,100.0
