2026-05-27 09:22:20,145 | INFO     | orchestration.pipeline       | ════════════════════════════════════════════════════════════
2026-05-27 09:22:20,146 | INFO     | orchestration.pipeline       | Pipeline [b2b-ingestion-v2] starting | 20260527_092220
2026-05-27 09:22:20,146 | INFO     | orchestration.pipeline       | ════════════════════════════════════════════════════════════
2026-05-27 09:22:20,146 | INFO     | orchestration.pipeline       | START [scrape]
2026-05-27 09:22:20,161 | INFO     | main                         | Mock scraper generated 600 records
2026-05-27 09:22:20,170 | INFO     | main                         | Raw data → /home/claude/b2b_v2/data/raw/products_20260527_092220.json (600 records)
2026-05-27 09:22:20,171 | INFO     | orchestration.pipeline       | DONE  [scrape] (0.02s)
2026-05-27 09:22:20,171 | INFO     | orchestration.pipeline       | START [enrich]
2026-05-27 09:22:21,135 | WARNING  | api.enricher                 | API call failed https://open.er-api.com/v6/latest/INR: 403, message='Forbidden', url='https://open.er-api.com/v6/latest/INR'
2026-05-27 09:22:21,136 | WARNING  | api.enricher                 | Exchange rate API unavailable – using fallback rates
2026-05-27 09:22:21,431 | WARNING  | api.enricher                 | API call failed https://restcountries.com/v3.1/name/india: 403, message='Forbidden', url='https://restcountries.com/v3.1/name/india'
2026-05-27 09:22:21,431 | WARNING  | api.enricher                 | RestCountries API unavailable – using fallback geo
2026-05-27 09:22:21,431 | INFO     | api.enricher                 | Enriching 600 records | rates: {'USD': 0.012, 'EUR': 0.011} | geo: Southern Asia
2026-05-27 09:22:21,724 | WARNING  | api.enricher                 | API call failed https://api.datamuse.com/words: 403, message='Forbidden', url='https://api.datamuse.com/words?ml=automatic+lathe&max=5'
2026-05-27 09:22:21,725 | WARNING  | api.enricher                 | API call failed https://api.datamuse.com/words: 403, message='Forbidden', url='https://api.datamuse.com/words?ml=centrifugal+pump&max=5'
2026-05-27 09:22:21,725 | WARNING  | api.enricher                 | API call failed https://api.datamuse.com/words: 403, message='Forbidden', url='https://api.datamuse.com/words?ml=semi-automatic+grinding&max=5'
2026-05-27 09:22:21,726 | WARNING  | api.enricher                 | API call failed https://api.datamuse.com/words: 403, message='Forbidden', url='https://api.datamuse.com/words?ml=semi-automatic+industrial&max=5'
